Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9852,alces alces,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,NA,NA,NA,NA,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),229073,Amphiprion nigripes,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,actinopterygii,pomacentridae,not assigned,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9901,Bison bison,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9901,Bison bison,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9913,Bos taurus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,bovidae,artiodactyla,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,canidae,carnivora,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9612,Canis lupus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,canidae,carnivora,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),94186,Civettictis civetta,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,viverridae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,equidae,perissodactyla,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9796,Equus caballus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,equidae,perissodactyla,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),30602,Eulemur macaco,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,lemuridae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),859983,Eulemur rufus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,lemuridae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,aves,phasianidae,galliformes,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9031,Gallus gallus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,aves,phasianidae,galliformes,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),499232,Gorilla beringei,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,hominidae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,NA,NA,NA,NA,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,NA,NA,NA,NA,Not specified,FALSE,FALSE,detection_method=Not specified,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9606,Homo sapiens,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9716,Mirounga angustirostris,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,phocidae,carnivora,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),8128,Oreochromis niloticus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,actinopterygii,cichlidae,cichliformes,PCR/Sequencing,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),36229,Papio ursinus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,cercopithecidae,primates,Isolation/Observation,TRUE,TRUE,NA,CLOVER,bacteria,NA,NA
