disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa
Chikungunya fever,chikungunya fever,Aedes aegypti,aedes aegypti,mosquito,mosquito,confirmed,review,lit_review,1,3,Africa; Asia; Americas; Australia; global,"(Delrieu et al., 2023); (Higgs and Vanlandingham, 2015); (Van Den Hurk et al., 2010)",major potential vector; efficient laboratory vector; primary vector,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes africanus,aedes africanus,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes albopictus,aedes albopictus,mosquito,mosquito,confirmed,review,lit_review,1,3,Africa; Asia; Europe; Americas; Australia; global,"(Delrieu et al., 2023); (Higgs and Vanlandingham, 2015); (Van Den Hurk et al., 2010)",moderately efficient laboratory vector; primary/major vector,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes fulgens,aedes fulgens,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes furcifer,aedes furcifer,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes furcifer-taylori,aedes furcifer taylori,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes hensilli,aedes hensilli,mosquito,mosquito,probable,review,lit_review,1,2,"Yap Island, Federated States of Micronesia","(Higgs and Vanlandingham, 2015); (Ledermann et al., 2014)",lab susceptible; outbreak-associated; limited evidence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes luteocephalus,aedes luteocephalus,mosquito,mosquito,probable,review,lit_review,1,1,Africa,"(Higgs and Vanlandingham, 2015)",sylvatic cycle,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes notoscriptus,aedes notoscriptus,mosquito,mosquito,candidate,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",lower transmission; midgut escape barrier,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes procax,aedes procax,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes togoi,aedes togoi,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes triseriatus,aedes triseriatus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes vexans,aedes vexans,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes vigilax,aedes vigilax,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE
Chikungunya fever,chikungunya fever,Aedes vittatus,aedes vittatus,mosquito,mosquito,candidate,review,lit_review,1,1,,"(Higgs and Vanlandingham, 2015)",lab competence,TRUE,FALSE
Chikungunya fever,chikungunya fever,Coquillettidia linealis,coquillettidia linealis,mosquito,mosquito,probable,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",efficient laboratory vector,TRUE,FALSE
Chikungunya fever,chikungunya fever,Culex annulirostris,culex annulirostris,mosquito,mosquito,weak,lab,lit_review,1,1,Australia,"(Van Den Hurk et al., 2010)",poor laboratory vector; low transmission,TRUE,FALSE
