broad_group,ictv_genus,ictv_subgenus,ictv_species,virus_name,isolate,accession,available_sequence,abbrev,candidate_role,proposed_active_unit,decision,decision_reason,support_status,ncbi_followup_hint,ictv_taxon_anchor,ictv_taxon_source,keep_reason,keep_rationale,keep_notes,source_rationale,source_notes
Merbecovirus,Betacoronavirus,Merbecovirus,Betacoronavirus cameli,Middle East respiratory syndrome-related coronavirus,HCoV-EMC,JX869059,Complete genome,MERS-CoV,active_unit_exemplar,MERS-CoV,keep_active,ICTV exemplar for MERS-CoV,active_unit,Middle East respiratory syndrome-related coronavirus | HCoV-EMC | JX869059,Subgenus Merbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus,ICTV exemplar for MERS-CoV,ICTV exemplar for MERS-CoV,Formal ICTV exemplar row for the MERS virus.,ICTV exemplar for MERS-CoV,Formal ICTV exemplar row for the MERS virus.
Merbecovirus,Betacoronavirus,Merbecovirus,Betacoronavirus pipistrelli,Pipistrellus bat coronavirus HKU5,LMH03f,EF065509,Complete genome,Pi-BatCoV_HKU5,wildlife_group_exemplar,MERS-like bat merbecoviruses,keep_active,ICTV exemplar for a bat merbecovirus candidate group,active_unit,Pipistrellus bat coronavirus HKU5 | LMH03f | EF065509,Subgenus Merbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,ICTV exemplar for a bat merbecovirus candidate group,Use as a bat-merbecovirus group exemplar while collecting host and zoonotic-potential evidence.
Merbecovirus,Betacoronavirus,Merbecovirus,Betacoronavirus tylonycteridis,Tylonycteris bat coronavirus HKU4,B04f,EF065505,Complete genome,Ty-BatCoV_HKU4,wildlife_group_exemplar,MERS-like bat merbecoviruses,keep_active,ICTV exemplar for a bat merbecovirus candidate group,active_unit,Tylonycteris bat coronavirus HKU4 | B04f | EF065505,Subgenus Merbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,ICTV exemplar for a bat merbecovirus candidate group,Use as a bat-merbecovirus group exemplar while collecting host and zoonotic-potential evidence.
Merbecovirus,Betacoronavirus,Merbecovirus,Betacoronavirus erinacei,hedgehog coronavirus 1; Erinaceus europaeus coronavirus 1,2012-174/GER/2012,KC545383,Complete genome,EriCoV1,supporting_example,Merbecovirus review set,keep_supporting_example,"Extra ICTV merbecovirus exemplar, not part of the initial active set",supporting_example,hedgehog coronavirus 1; Erinaceus europaeus coronavirus 1 | 2012-174/GER/2012,Subgenus Merbecovirus,https://ictv.global/taxonomy/taxondetails?taxnode_id=202506125&taxon_name=Merbecovirus,"Extra ICTV merbecovirus exemplar, not part of the initial active set","Extra ICTV merbecovirus exemplar, not part of the initial active set",Useful as a reference candidate but not one of the initial active host-distribution targets.,"Extra ICTV merbecovirus exemplar, not part of the initial active set",Useful as a reference candidate but not one of the initial active host-distribution targets.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU4-1,HKU4-1,,Accession unresolved in current pass,HKU4-1,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU4-1 | HKU4-1,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU4 isolate variant. Exact NCBI nucleotide accession not pinned in this pass.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU4-2,HKU4-2,EF065506,GenBank accession provided,HKU4-2,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU4-2 | HKU4-2,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU4 isolate variant. Manual nuccore lookup pinned accession EF065506.1.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU4-3,HKU4-3,EF065507,GenBank accession provided,HKU4-3,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU4-3 | HKU4-3,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU4 isolate variant. Manual nuccore lookup pinned accession EF065507.1.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU4-4,HKU4-4,EF065508,GenBank accession provided,HKU4-4,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU4-4 | HKU4-4,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU4 isolate variant. Manual nuccore lookup pinned accession EF065508.1.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU5-1,HKU5-1,,Accession unresolved in current pass,HKU5-1,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU5-1 | HKU5-1,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU5 isolate variant. Exact NCBI nucleotide accession not pinned in this pass.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU5-2,HKU5-2,EF065510,GenBank accession provided,HKU5-2,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU5-2 | HKU5-2,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU5 isolate variant. Manual nuccore lookup pinned accession EF065510.1.
Merbecovirus,Betacoronavirus,Merbecovirus,,Bat coronavirus HKU5-3,HKU5-3,EF065511,GenBank accession provided,HKU5-3,supporting_tree_example,MERS-like bat merbecoviruses,keep_supporting_example,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,supporting_example,Bat coronavirus HKU5-3 | HKU5-3,Subgenus Merbecovirus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?command=show&mode=tree&id=2509494&lvl=3,host_link_and_zoonotic_potential_group,Retained as an active wildlife merbecovirus analysis group because host-link data and zoonotic concern exist even where direct human infection is unclear or absent.,Treat the listed viruses as supporting examples inside this group rather than splitting further for now.,Wildlife merbecovirus isolate variant promoted from the NCBI taxonomy tree,Added from the Merbecovirus taxonomy tree as a named HKU5 isolate variant. Manual nuccore lookup pinned accession EF065511.1.
