"","disease","type","name1","id","tag","name2","species","subregions","accu","ID","ID2"
"1","opisthorchis viverrini","hosts","human","X:\DRtemp\temp\disease_analyses/01RmXZHoiJFc",NA,"human;","human","",0,"opisthorchis viverrini;human;","opisthorchis viverrini;human"
"12","brugia malayi","hosts","human","X:\DRtemp\temp\disease_analyses/0AzZxflCEj3g",NA,"human;","human","",0,"brugia malayi;human;","brugia malayi;human"
"13","wuchereria bancrofti","hosts","human","X:\DRtemp\temp\disease_analyses/0KjvX8sExzGW",NA,"human;","human","",0,"wuchereria bancrofti;human;","wuchereria bancrofti;human"
"14","paragonimus heterotremus","hosts","human","X:\DRtemp\temp\disease_analyses/0PWOzm56tdRb",NA,"human;","human","",0,"paragonimus heterotremus;human;","paragonimus heterotremus;human"
"15","fasciola gigantica","second","cattle","X:\DRtemp\temp\disease_analyses/15It1ks7oSpR",NA,"cattle;","cattle","",0,"fasciola gigantica;cattle;","fasciola gigantica;cattle"
"16","paragonimus miyazakii","second","pigs","X:\DRtemp\temp\disease_analyses/16fph4HhMmSl",NA,"pigs;","pigs","",0,"paragonimus miyazakii;pigs;","paragonimus miyazakii;pigs"
"17","brucella suis","hosts","sheep","X:\DRtemp\temp\disease_analyses/1hpdnP2k0vUG",NA,"sheep;","sheep","",0,"brucella suis;sheep;","brucella suis;sheep"
"18","zika","hosts","human","X:\DRtemp\temp\disease_analyses/1TUfwhL3uEHw",NA,"human;","human","",0,"zika;human;","zika;human"
"19","rocio","hosts","ducks","X:\DRtemp\temp\disease_analyses/1vuAiCBjCsYI",NA,"ducks;","ducks","",0,"rocio;ducks;","rocio;ducks"
"110","babesia divergens","hosts","cattle","X:\DRtemp\temp\disease_analyses/1YoXuItUePTR",NA,"cattle;","cattle","",0,"babesia divergens;cattle;","babesia divergens;cattle"
"111","paragonimus mexicanus","hosts","human","X:\DRtemp\temp\disease_analyses/227hLi2T9e6O",NA,"human;","human","",0,"paragonimus mexicanus;human;","paragonimus mexicanus;human"
"112","leishmania infantum chagasi","hosts","human","X:\DRtemp\temp\disease_analyses/2dSDmRMwaFmi",NA,"human;","human","",0,"leishmania infantum chagasi;human;","leishmania infantum chagasi;human"
"113","alkhurma","hosts","sheep","X:\DRtemp\temp\disease_analyses/2DxIrGVaTUW0",NA,"sheep;","sheep","",0,"alkhurma;sheep;","alkhurma;sheep"
"114","trypanosoma brucei rhodesiense","hosts","human","X:\DRtemp\temp\disease_analyses/2Gb0sNAzteRW",NA,"human;","human","",0,"trypanosoma brucei rhodesiense;human;","trypanosoma brucei rhodesiense;human"
"115","menangle","second","pigs","X:\DRtemp\temp\disease_analyses/2icICujO2Wto",NA,"pigs;","pigs","",0,"menangle;pigs;","menangle;pigs"
"117","borrelia garinii","second","sheep","X:\DRtemp\temp\disease_analyses/2zdqilMEjvhd",NA,"sheep;","sheep","",0,"borrelia garinii;sheep;","borrelia garinii;sheep"
"122","west nile","hosts","ducks","X:\DRtemp\temp\disease_analyses/4HKRqjPo5gMV",NA,"ducks;","ducks","",0,"west nile;ducks;","west nile;ducks"
"123","fasciola hepatica","hosts","human","X:\DRtemp\temp\disease_analyses/4W2ABSI5r3jE",NA,"human;","human","",0,"fasciola hepatica;human;","fasciola hepatica;human"
"124","brucella abortus","hosts","cattle","X:\DRtemp\temp\disease_analyses/4ybnLvL949b8",NA,"cattle;","cattle","",0,"brucella abortus;cattle;","brucella abortus;cattle"
"126","schistosoma mansoni","hosts","human","X:\DRtemp\temp\disease_analyses/5jlECtcYkVep",NA,"human;","human","",0,"schistosoma mansoni;human;","schistosoma mansoni;human"
"127","spondweni","hosts","human","X:\DRtemp\temp\disease_analyses/5N7sUetFr2GF",NA,"human;","human","",0,"spondweni;human;","spondweni;human"
"128","plasmodium falciparum","hosts","human","X:\DRtemp\temp\disease_analyses/5qaueXBxFYLs",NA,"human;","human","",0,"plasmodium falciparum;human;","plasmodium falciparum;human"
"130","brucella abortus","hosts","sheep","X:\DRtemp\temp\disease_analyses/6OkMzeEJ9bQE",NA,"sheep;","sheep","",0,"brucella abortus;sheep;","brucella abortus;sheep"
"131","schistosoma intercalatum","hosts","human","X:\DRtemp\temp\disease_analyses/6p5dQ2PyU39v",NA,"human;","human","",0,"schistosoma intercalatum;human;","schistosoma intercalatum;human"
"132","paragonimus uterobilateralis","hosts","human","X:\DRtemp\temp\disease_analyses/6PkriE1YP29B",NA,"human;","human","",0,"paragonimus uterobilateralis;human;","paragonimus uterobilateralis;human"
"133","borna","second","goats","X:\DRtemp\temp\disease_analyses/6t5Gt23WxOYk",NA,"goats;","goats","",0,"borna;goats;","borna;goats"
"134","brucella suis","hosts","pigs","X:\DRtemp\temp\disease_analyses/6WgpoDsFO5vY",NA,"pigs;","pigs","",0,"brucella suis;pigs;","brucella suis;pigs"
"135","borna","second","sheep","X:\DRtemp\temp\disease_analyses/6YmymKUvdQE8",NA,"sheep;","sheep","",0,"borna;sheep;","borna;sheep"
"136","bartonella bacilliformis","hosts","human","X:\DRtemp\temp\disease_analyses/71vLqy9QAfbj",NA,"human;","human","",0,"bartonella bacilliformis;human;","bartonella bacilliformis;human"
"137","yellow","hosts","human","X:\DRtemp\temp\disease_analyses/7j3hYqmNT02M",NA,"human;","human","",0,"yellow;human;","yellow;human"
"139","schistosoma guineensis","hosts","human","X:\DRtemp\temp\disease_analyses/7UPjmouvtkW0",NA,"human;","human","",0,"schistosoma guineensis;human;","schistosoma guineensis;human"
"141","mayaro","hosts","human","X:\DRtemp\temp\disease_analyses/8ju5ETWWb0At",NA,"human;","human","",0,"mayaro;human;","mayaro;human"
"142","schistosoma japonicum","hosts","human","X:\DRtemp\temp\disease_analyses/91yym8DWnklz",NA,"human;","human","",0,"schistosoma japonicum;human;","schistosoma japonicum;human"
"144","leptospira spp","hosts","cattle","X:\DRtemp\temp\disease_analyses/a107o5b8ke9h",NA,"cattle;","cattle","",0,"leptospira spp;cattle;","leptospira spp;cattle"
"1350","opisthorchis felineus","hosts","human","X:\DRtemp\temp\disease_analyses/AsC9uD3LyX09",NA,"human;","human","",0,"opisthorchis felineus;human;","opisthorchis felineus;human"
"1363","fasciola gigantica","second","sheep","X:\DRtemp\temp\disease_analyses/AtQPhs7FJq3r",NA,"sheep;","sheep","",0,"fasciola gigantica;sheep;","fasciola gigantica;sheep"
"1368","paragonimus africanus","hosts","human","X:\DRtemp\temp\disease_analyses/BAh0eFHEm8kL",NA,"human;","human","",0,"paragonimus africanus;human;","paragonimus africanus;human"
"1373","rocio","hosts","chickens","X:\DRtemp\temp\disease_analyses/BcAjiZTKqZfp",NA,"chickens;","chickens","",0,"rocio;chickens;","rocio;chickens"
"1374","fasciola hepatica","second","goats","X:\DRtemp\temp\disease_analyses/bfe1uvZGQ0HW",NA,"goats;","goats","",0,"fasciola hepatica;goats;","fasciola hepatica;goats"
"1386","brucella suis","hosts","cattle","X:\DRtemp\temp\disease_analyses/BjQCg90xqDhp",NA,"cattle;","cattle","",0,"brucella suis;cattle;","brucella suis;cattle"
"1387","chikungunya","hosts","human","X:\DRtemp\temp\disease_analyses/bKIDjBGtcZzi",NA,"human;","human","",0,"chikungunya;human;","chikungunya;human"
"1388","trypanosoma brucei gambinese","hosts","human","X:\DRtemp\temp\disease_analyses/bKY5OUkwidXU",NA,"human;","human","",0,"trypanosoma brucei gambinese;human;","trypanosoma brucei gambinese;human"
"1396","crimean congo hemorrhagic","hosts","cattle","X:\DRtemp\temp\disease_analyses/bMqeJmkTgZMI",NA,"cattle;","cattle","",0,"crimean congo hemorrhagic;cattle;","crimean congo hemorrhagic;cattle"
"1416","brugia timori","hosts","human","X:\DRtemp\temp\disease_analyses/BpGye9gCCRrl",NA,"human;","human","",0,"brugia timori;human;","brugia timori;human"
"1417","schistosoma haematobium","hosts","human","X:\DRtemp\temp\disease_analyses/Bpt61Fqtmm88",NA,"human;","human","",0,"schistosoma haematobium;human;","schistosoma haematobium;human"
"1424","coxiella burnetii","hosts","goats","X:\DRtemp\temp\disease_analyses/BSINhRJzn07W",NA,"goats;","goats","",0,"coxiella burnetii;goats;","coxiella burnetii;goats"
"1425","fasciola gigantica","second","goats","X:\DRtemp\temp\disease_analyses/BTTbhQSPKUZ3",NA,"goats;","goats","",0,"fasciola gigantica;goats;","fasciola gigantica;goats"
"1468","plasmodium vivax","hosts","human","X:\DRtemp\temp\disease_analyses/bxGUniC5gGDs",NA,"human;","human","",0,"plasmodium vivax;human;","plasmodium vivax;human"
"1469","coxiella burnetii","hosts","cattle","X:\DRtemp\temp\disease_analyses/BydyfYaFrqoX",NA,"cattle;","cattle","",0,"coxiella burnetii;cattle;","coxiella burnetii;cattle"
"1472","brucella abortus","hosts","goats","X:\DRtemp\temp\disease_analyses/C5vNHCvdD9IF",NA,"goats;","goats","",0,"brucella abortus;goats;","brucella abortus;goats"
"1559","banna","hosts","pigs","X:\DRtemp\temp\disease_analyses/CFTUdF3Tyklc",NA,"pigs;","pigs","",0,"banna;pigs;","banna;pigs"
"1561","fasciola hepatica","second","cattle","X:\DRtemp\temp\disease_analyses/cHGiWXZ6vacd",NA,"cattle;","cattle","",0,"fasciola hepatica;cattle;","fasciola hepatica;cattle"
"1754","schistosoma mekongi","hosts","human","X:\DRtemp\temp\disease_analyses/cWVQoKSctjzf",NA,"human;","human","",0,"schistosoma mekongi;human;","schistosoma mekongi;human"
"1755","western equine encephalitis","hosts","chickens","X:\DRtemp\temp\disease_analyses/CxjDLV2DqWzk",NA,"chickens;","chickens","",0,"western equine encephalitis;chickens;","western equine encephalitis;chickens"
"1785","borrelia garinii","second","goats","X:\DRtemp\temp\disease_analyses/DBU39xKkhx73",NA,"goats;","goats","",0,"borrelia garinii;goats;","borrelia garinii;goats"
"1830","leishmania donovani","hosts","human","X:\DRtemp\temp\disease_analyses/dTW84dg1a9VI",NA,"human;","human","",0,"leishmania donovani;human;","leishmania donovani;human"
"1834","leptospira spp","hosts","pigs","X:\DRtemp\temp\disease_analyses/dw5eBRnSEUyU",NA,"pigs;","pigs","",0,"leptospira spp;pigs;","leptospira spp;pigs"
"1838","tioman virus","second","pigs","X:\DRtemp\temp\disease_analyses/eHOJYePYB8S5",NA,"pigs;","pigs","",0,"tioman virus;pigs;","tioman virus;pigs"
"1845","fasciola gigantica","hosts","human","X:\DRtemp\temp\disease_analyses/eotnLF3uxxxf",NA,"human;","human","",0,"fasciola gigantica;human;","fasciola gigantica;human"
"1865","dengue","hosts","human","X:\DRtemp\temp\disease_analyses/EzoikkqRXxak",NA,"human;","human","",0,"dengue;human;","dengue;human"
"1866","loa loa","hosts","human","X:\DRtemp\temp\disease_analyses/F04U6FROXdak",NA,"human;","human","",0,"loa loa;human;","loa loa;human"
"1879","paragonimus westermani","hosts","human","X:\DRtemp\temp\disease_analyses/fojJkNdTVReN",NA,"human;","human","",0,"paragonimus westermani;human;","paragonimus westermani;human"
"1883","borrelia duttoni","second","pigs","X:\DRtemp\temp\disease_analyses/FvBn9pE1Xg1v",NA,"pigs;","pigs","",0,"borrelia duttoni;pigs;","borrelia duttoni;pigs"
"1885","leishmania panamensis","hosts","human","X:\DRtemp\temp\disease_analyses/G8kgWJJvuom8",NA,"human;","human","",0,"leishmania panamensis;human;","leishmania panamensis;human"
"1889","leishmania major","hosts","human","X:\DRtemp\temp\disease_analyses/geMeV9JhxmVk",NA,"human;","human","",0,"leishmania major;human;","leishmania major;human"
"1891","fasciola hepatica","second","sheep","X:\DRtemp\temp\disease_analyses/GfZboF8ObYJB",NA,"sheep;","sheep","",0,"fasciola hepatica;sheep;","fasciola hepatica;sheep"
"1892","crimean congo hemorrhagic","hosts","sheep","X:\DRtemp\temp\disease_analyses/Gg086e7YPXES",NA,"sheep;","sheep","",0,"crimean congo hemorrhagic;sheep;","crimean congo hemorrhagic;sheep"
"1924","leishmania tropica","hosts","human","X:\DRtemp\temp\disease_analyses/Gvu3wFz3DOge",NA,"human;","human","",0,"leishmania tropica;human;","leishmania tropica;human"
"1963","paragonimus kellicotti","hosts","human","X:\DRtemp\temp\disease_analyses/hEGBbCx4gEUx",NA,"human;","human","",0,"paragonimus kellicotti;human;","paragonimus kellicotti;human"
"1974","borna","second","pigs","X:\DRtemp\temp\disease_analyses/HLz5NlUL9cph",NA,"pigs;","pigs","",0,"borna;pigs;","borna;pigs"
"11024","borrelia garinii","second","pigs","X:\DRtemp\temp\disease_analyses/IbCE2e0f8xzQ",NA,"pigs;","pigs","",0,"borrelia garinii;pigs;","borrelia garinii;pigs"
"11030","leishmania mexicana","hosts","human","X:\DRtemp\temp\disease_analyses/IJvXqGhRckEz",NA,"human;","human","",0,"leishmania mexicana;human;","leishmania mexicana;human"
"11036","babesia venatorum","hosts","goats","X:\DRtemp\temp\disease_analyses/IoK061EBcekW",NA,"goats;","goats","",0,"babesia venatorum;goats;","babesia venatorum;goats"
"11118","paragonimus miyazakii","hosts","human","X:\DRtemp\temp\disease_analyses/jmLlLSkMmnsn",NA,"human;","human","",0,"paragonimus miyazakii;human;","paragonimus miyazakii;human"
"11123","borna","second","cattle","X:\DRtemp\temp\disease_analyses/Jvjz2Sm8fXRz",NA,"cattle;","cattle","",0,"borna;cattle;","borna;cattle"
"11125","borrelia duttoni","second","chickens","X:\DRtemp\temp\disease_analyses/Jz8j5toGeYoy",NA,"chickens;","chickens","",0,"borrelia duttoni;chickens;","borrelia duttoni;chickens"
"11127","leishmania guyanensis","hosts","human","X:\DRtemp\temp\disease_analyses/K1ErUIOS5HWJ",NA,"human;","human","",0,"leishmania guyanensis;human;","leishmania guyanensis;human"
"11131","plasmodium ovale","hosts","human","X:\DRtemp\temp\disease_analyses/kFpMgTc1OmXv",NA,"human;","human","",0,"plasmodium ovale;human;","plasmodium ovale;human"
"11134","brucella abortus","hosts","pigs","X:\DRtemp\temp\disease_analyses/KlvpvuzREFDY",NA,"pigs;","pigs","",0,"brucella abortus;pigs;","brucella abortus;pigs"
"11138","ilhéus","hosts","chickens","X:\DRtemp\temp\disease_analyses/kNIDXUSwbJRb",NA,"chickens;","chickens","",0,"ilhéus;chickens;","ilhéus;chickens"
"11144","trypanosoma cruzi","hosts","human","X:\DRtemp\temp\disease_analyses/KxpYTmyb9o8r",NA,"human;","human","",0,"trypanosoma cruzi;human;","trypanosoma cruzi;human"
"11146","eyach","hosts","goats","X:\DRtemp\temp\disease_analyses/l0Gn6kSUH0AE",NA,"goats;","goats","",0,"eyach;goats;","eyach;goats"
"11147","rift valley","hosts","cattle","X:\DRtemp\temp\disease_analyses/l5ptlIjtCfES",NA,"cattle;","cattle","",0,"rift valley;cattle;","rift valley;cattle"
