target_id,Pathogens,Disease_name,query_used,in_gibb_etal,in_empres_i,manifest_status,qa_flags,status,records_found,ids_collected,records_parsed,countries_observed,note,has_retrieval_log,qa_flag
Salmonella_enterica_non_typhoidal_serovars,Salmonella enterica non typhoidal serovars,Non-typhoidal salmonellosis,txid28901[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope,NA,NA,NA,NA,NA,NA,FALSE,not_run
Alkhumra_hemorrhagic_fever_virus,Alkhumra hemorrhagic fever virus,Alkhurma,txid172148[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; duplicate_species_group; shared_species_proxy; match_review_flag; manual_genbank_override; already_has_genbank_country_evidence,success,78,78,78,2,NA,TRUE,ok
Alphainfluenzavirus_influenzae_H5N1,Alphainfluenzavirus influenzae (H5N1),Influenza (H5N1 avian influenza),"((txid11320[Organism:exp] OR txid2955291[Organism:exp])) AND ""H5N1""[All Fields]",NA,NA,ready_for_future_retrieval,duplicate_species_group; already_has_genbank_country_evidence,success,196949,196949,196949,96,NA,TRUE,ok
Alphainfluenzavirus_influenzae_H7N9,Alphainfluenzavirus influenzae (H7N9),Influenza (H7N9 avian influenza),"((txid11320[Organism:exp] OR txid2955291[Organism:exp])) AND ""H7N9""[All Fields]",NA,NA,ready_for_future_retrieval,duplicate_species_group; already_has_genbank_country_evidence,success,18008,18008,18008,20,NA,TRUE,ok
Alphavirus_barmah,Alphavirus barmah,Barmah Forest virus,(txid11020[Organism:exp] OR txid3426294[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,178,178,178,2,NA,TRUE,ok
Alphavirus_chikungunya,Alphavirus chikungunya,Chikungunya fever,"""Alphavirus chikungunya""[Organism] OR ""Chikungunya virus""[Organism] OR ""alphavirus chikungunya""[Organism] OR ""chikungunya virus""[Organism]",NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,11893,11893,11893,115,NA,TRUE,ok
Alphavirus_everglades,Alphavirus everglades,Everglades,txid2083198[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,17,17,17,1,NA,TRUE,ok
Alphavirus_mayaro,Alphavirus mayaro,Mayaro,(txid3426306[Organism:exp] OR txid59301[Organism:exp]),NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,263,263,263,10,NA,TRUE,ok
Alphavirus_rossriver,Alphavirus rossriver,Ross River virus,(txid11029[Organism:exp] OR txid3426314[Organism:exp]),NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,716,716,716,7,NA,TRUE,ok
Alphavirus_venezuelan,Alphavirus venezuelan,Venezuelan equine encephalitis,"""Alphavirus venezuelan""[Organism]",NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,696,696,696,19,NA,TRUE,ok
Babesia_microti,Babesia microti,Babesia microti,txid5868[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,5043,5043,5043,49,NA,TRUE,ok
Bacillus_anthracis,Bacillus anthracis,Anthrax,txid1392[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,55603,55603,55603,93,NA,TRUE,ok
Bandavirus_dabieense,Bandavirus dabieense,Severe fever with thrombocytopenia syndrome (SFTS),(txid1933190[Organism:exp] OR txid2748958[Organism:exp]),NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,10011,10011,10011,6,NA,TRUE,ok
Bartonella_bacilliformis,Bartonella bacilliformis,Bartonellosis,txid774[Organism:exp],NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,1768,1768,1768,4,NA,TRUE,ok
Baylisascaris_procyonis,Baylisascaris procyonis,Baylisascaris procyonis,txid6259[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,307,307,307,14,NA,TRUE,ok
Borrelia_hermsii,Borrelia hermsii,Borrelia hermsii,txid140[Organism:exp],NA,NA,ready_for_future_retrieval,already_has_genbank_country_evidence,success,1126,1126,1126,2,NA,TRUE,ok
Capripoxvirus_lumpyskinpox,Capripoxvirus lumpyskinpox,Lumpy skin disease,(txid3427718[Organism:exp] OR txid59509[Organism:exp]),NA,NA,ready_for_future_retrieval,non_include_scope; already_has_genbank_country_evidence,success,2760,2760,2760,58,NA,TRUE,ok
