source_dataset,analysis_unit_id,readiness_disease_name,host_role_bucket,host_role_evidence_basis,modelling_role_proxy_confidence,modelling_role_proxy_needs_review,rows
chikungunya_delivery,master_4,Chikungunya fever,host_presence_only,candidate_only,low,TRUE,27
chikungunya_delivery,master_4,Chikungunya fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
chikungunya_delivery,master_4,Chikungunya fever,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_20,Argentine hemorrhagic fever,host_presence_only,candidate_only,low,TRUE,8
repo_pilot,master_20,Argentine hemorrhagic fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
repo_pilot,master_20,Argentine hemorrhagic fever,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_26,Borna disease (encephalitis),host_presence_only,candidate_only,low,TRUE,23
repo_pilot,master_4,Chikungunya fever,host_presence_only,candidate_only,low,TRUE,27
repo_pilot,master_4,Chikungunya fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
repo_pilot,master_4,Chikungunya fever,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_7,Crimean-Congo hemorrhagic fever,host_presence_only,candidate_only,low,TRUE,57
repo_pilot,master_7,Crimean-Congo hemorrhagic fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
repo_pilot,master_2,Dengue,host_presence_only,candidate_only,low,TRUE,52
repo_pilot,master_2,Dengue,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_9,Ebola virus disease,host_presence_only,candidate_only,low,TRUE,16
repo_pilot,master_9,Ebola virus disease,susceptible_or_spillover_host,exact_source_backed,medium,TRUE,2
repo_pilot,master_9,Ebola virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_19,Hantavirus pulmonary syndrome,host_presence_only,candidate_only,low,TRUE,28
repo_pilot,who_8,Hemorrhagic fever with renal syndrome (Hantaan virus),host_presence_only,candidate_only,low,TRUE,28
repo_pilot,who_8,Hemorrhagic fever with renal syndrome (Hantaan virus),dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
repo_pilot,who_8,Hemorrhagic fever with renal syndrome (Hantaan virus),reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_28,Hepatitis E,host_presence_only,candidate_only,low,TRUE,74
repo_pilot,master_16,Influenza (H5N1 avian influenza),host_presence_only,disease_group_proxy,low,TRUE,280
repo_pilot,master_16,Influenza (H5N1 avian influenza),reservoir_or_amplifying_host,disease_group_proxy,medium,TRUE,173
repo_pilot,master_16,Influenza (H5N1 avian influenza),susceptible_or_spillover_host,disease_group_proxy,low,TRUE,102
repo_pilot,master_16,Influenza (H5N1 avian influenza),dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
repo_pilot,master_16,Influenza (H5N1 avian influenza),reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
repo_pilot,master_16,Influenza (H5N1 avian influenza),susceptible_or_spillover_host,exact_reviewed_needs_review,medium,TRUE,1
repo_pilot,master_16,Influenza (H5N1 avian influenza),susceptible_or_spillover_host,exact_source_backed,medium,TRUE,1
repo_pilot,who_18,Influenza (H7N9 avian influenza),host_presence_only,disease_group_proxy,low,TRUE,280
repo_pilot,who_18,Influenza (H7N9 avian influenza),reservoir_or_amplifying_host,disease_group_proxy,medium,TRUE,173
repo_pilot,who_18,Influenza (H7N9 avian influenza),susceptible_or_spillover_host,disease_group_proxy,low,TRUE,105
repo_pilot,who_18,Influenza (H7N9 avian influenza),dead_end_or_incidental_host,disease_group_proxy,medium,TRUE,1
repo_pilot,master_11,Lassa fever,host_presence_only,candidate_only,low,TRUE,17
repo_pilot,master_11,Lassa fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
repo_pilot,master_11,Lassa fever,reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
repo_pilot,master_11,Lassa fever,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_27,Lujo hemorrhagic fever,host_presence_only,candidate_only,low,TRUE,1
repo_pilot,master_10,Marburg virus disease,host_presence_only,candidate_only,low,TRUE,9
repo_pilot,master_10,Marburg virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,2
repo_pilot,master_10,Marburg virus disease,dead_end_or_incidental_host,exact_source_backed,medium,TRUE,1
repo_pilot,master_15,Mpox (Monkeypox),host_presence_only,candidate_only,low,TRUE,36
repo_pilot,master_15,Mpox (Monkeypox),reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_15,Mpox (Monkeypox),reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
repo_pilot,master_15,Mpox (Monkeypox),susceptible_or_spillover_host,exact_source_backed,medium,TRUE,1
repo_pilot,master_12,Nipah virus disease,host_presence_only,candidate_only,low,TRUE,28
repo_pilot,master_12,Nipah virus disease,reservoir_or_amplifying_host,exact_source_backed,high,TRUE,2
repo_pilot,master_12,Nipah virus disease,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
repo_pilot,master_12,Nipah virus disease,reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
repo_pilot,master_12,Nipah virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
repo_pilot,master_18,Oropouche fever,host_presence_only,candidate_only,low,TRUE,7
repo_pilot,master_18,Oropouche fever,reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
repo_pilot,master_17,Plague,host_presence_only,candidate_only,low,TRUE,50
repo_pilot,master_17,Plague,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
repo_pilot,master_17,Plague,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
repo_pilot,master_8,Rift Valley fever,host_presence_only,candidate_only,low,TRUE,37
repo_pilot,master_8,Rift Valley fever,reservoir_or_amplifying_host,exact_source_backed,high,TRUE,2
repo_pilot,master_8,Rift Valley fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
repo_pilot,master_8,Rift Valley fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
