alias,disease_standard,disease_group,alias_type,priority,is_generic_label,requires_subtype_evidence,allowed_without_subtype,notes
Acute diarrhoea,Acute diarrhoea,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute encephalitis syndrome due to Chandipura virus,Acute encephalitis syndrome due to Chandipura virus,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute febrile illness,Acute febrile illness,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute fever and rash syndrome,Acute fever and rash syndrome,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute haemorrhagic fever syndrome,Acute haemorrhagic fever syndrome,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute neurological syndrome,Acute neurological syndrome,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute respiratory infection,Acute respiratory infection,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute respiratory infections complicated by malaria,Acute respiratory infections complicated by malaria,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute respiratory syndrome,Acute respiratory syndrome,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Acute watery diarrhoea,Acute watery diarrhoea,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Anthrax,Anthrax,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Bloody diarrhoea,Bloody diarrhoea,,exact_label,10,TRUE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Botulism,Botulism,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Bovine spongiform encephalopathy,Bovine spongiform encephalopathy,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Buffalopox,Buffalopox,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
COVID-19,COVID-19,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Cereulide toxin contamination,Cereulide toxin contamination,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Chapare haemorrhagic fever,Chapare haemorrhagic fever,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Chikungunya,Chikungunya,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Cholera,Cholera,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Circulating vaccine-derived poliovirus type 1,Circulating vaccine-derived poliovirus type 1,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
Circulating vaccine-derived poliovirus type 2,Circulating vaccine-derived poliovirus type 2,,exact_label,10,FALSE,FALSE,TRUE,Safe native disease alias derived from accepted clean disease candidates.
