master_row,disease_master_name,pathogen_family_master,master_tier,master_guild,master_livestock_amplified,master_key_host_vector,master_notes,resolved_pathogen_name,pathogen_aliases,resolved_pathogen_rank,resolved_taxid,resolved_disease_name,include_as_analysis_unit,split_group,resolution_source,resolution_notes
13,Hendra,Paramyxoviridae,3,B,TRUE,Pteropus bats,Horse amplification. n=11,Hendra henipavirus,Henipavirus hendraense,species,,Hendra virus disease,yes,hendra,manual_first_pass,May need alias to Hendra virus depending on source table.
30,Lyme disease,Borrelia,1,E,FALSE,Ixodes ticks; rodent/deer,Highest n. High filling,Borrelia burgdorferi sensu lato,Borreliella burgdorferi,species_complex,,Lyme disease,hold,lyme_borreliosis,manual_first_pass,Use the B. burgdorferi sensu lato complex rather than B. burgdorferi s.s. only.
31,Japanese encephalitis,Flaviviridae,1,E,TRUE,Culex tritaeniorhynchus; pigs; wading birds,Pig amplification essential. Vaccination flag.,Japanese encephalitis virus,Orthoflavivirus japonicum,species,,Japanese encephalitis,yes,japanese_encephalitis,manual_first_pass,Taxonomy/name may need canonical NCBI update.
32,Chagas (acute),Trypanosoma,1,E,FALSE,Triatomine bugs,"GBIF adds ~2,500 T. cruzi records",Trypanosoma cruzi,,species,,Chagas disease,yes,chagas_disease,manual_first_pass,
33,Melioidosis,Burkholderia,1,env,FALSE,Environmental (B. pseudomallei),No animal reservoir,Burkholderia pseudomallei,,species,,Melioidosis,yes,melioidosis,manual_first_pass,
34,Brazilian spotted fever,Rickettsia,1,E,FALSE,Amblyomma ticks,,Rickettsia rickettsii,,species,,Brazilian spotted fever,yes,brazilian_spotted_fever,manual_first_pass,Most likely main analysis unit; review whether to include R. parkeri-like agents separately.
35,La Crosse encephalitis,Peribunyaviridae,1,E,FALSE,Aedes treehole mosquitoes,,La Crosse virus,Orthobunyavirus lacrosseense,species,,La Crosse encephalitis,yes,la_crosse_encephalitis,manual_first_pass,Taxonomy/name may need canonical NCBI update.
36,Powassan,Flaviviridae,1,E,FALSE,Ixodes ticks,,Powassan virus,Orthoflavivirus powassanense,species,,Powassan virus disease,yes,powassan_virus_disease,manual_first_pass,Consider whether deer tick virus lineage is handled separately or within Powassan virus.
37,EEE,Togaviridae,1,E,TRUE,Mosquitoes; wild birds,Equine amplification,Eastern equine encephalitis virus,Alphavirus eastern,species,,Eastern equine encephalitis,yes,eastern_equine_encephalitis,manual_first_pass,
38,WEE,Togaviridae,1,E,TRUE,Mosquitoes; wild birds,Equine amplification,Western equine encephalitis virus,Alphavirus western,species,,Western equine encephalitis,yes,western_equine_encephalitis,manual_first_pass,
39,Jamestown Canyon,Peribunyaviridae,1,E,FALSE,Mosquitoes; deer,,Jamestown Canyon virus,Orthobunyavirus jamestownense,species,,Jamestown Canyon virus disease,yes,jamestown_canyon_virus_disease,manual_first_pass,
40,St. Louis encephalitis,Flaviviridae,1,E,FALSE,Culex; wild birds,,Saint Louis encephalitis virus,Orthoflavivirus louisense,species,,Saint Louis encephalitis,yes,saint_louis_encephalitis,manual_first_pass,
41,Mayaro,Togaviridae,1,E,FALSE,Haemagogus mosquitoes; NHP,,Mayaro virus,Alphavirus mayaro,species,,Mayaro virus disease,yes,mayaro_virus_disease,manual_first_pass,
42,Zoonotic malaria (P. knowlesi),Plasmodium,1,E,FALSE,Anopheles; macaque reservoir,,Plasmodium knowlesi,,species,,Zoonotic malaria,yes,zoonotic_malaria_p_knowlesi,manual_first_pass,
43,Anthrax,Bacillus,1,B/env,TRUE,Soil spores; wildlife cycle,Livestock amplify outbreaks,Bacillus anthracis,,species,,Anthrax,yes,anthrax,manual_first_pass,
45,O'nyong-nyong,Togaviridae,2,E,FALSE,Anopheles funestus/gambiae,Only alphavirus using malaria vectors. Pezzi et al. 2019,O'nyong-nyong virus,Onyong-nyong virus,species,,O'nyong-nyong fever,yes,onyong_nyong,manual_first_pass,
46,Scrub typhus,Orientia,1?,E,FALSE,Leptotrombidium mites (chiggers),VectorMap data. ~1M cases/yr. Unique vector type,Orientia tsutsugamushi,,species,,Scrub typhus,yes,scrub_typhus,manual_first_pass,Review whether scrub typhus group should include additional Orientia species.
47,Ross River virus,Togaviridae,2,E,FALSE,Aedes/Culex; macropod reservoir,Australian. ~5000 cases/yr,Ross River virus,Alphavirus rossriver,species,,Ross River virus disease,yes,ross_river_virus,manual_first_pass,
48,Barmah Forest virus,Togaviridae,2,E,FALSE,Aedes/Culex,Australian companion to Ross River,Barmah Forest virus,Alphavirus barmah,species,,Barmah Forest virus disease,yes,barmah_forest_virus,manual_first_pass,
49,Bartonellosis,Bartonella,2,E,FALSE,Lutzomyia sand flies,Peru/Ecuador/Colombia,Bartonella bacilliformis,,species,,Bartonellosis,yes,bartonellosis,manual_first_pass,Assumes Carrion's disease/Oroya fever context because sand fly vector is listed; review if broader Bartonella intended.
50,Murine typhus,Rickettsia,2,A,FALSE,Xenopsylla cheopis (rat flea); Rattus,Flea-vectored. Cosmopolitan Rattus host,Rickettsia typhi,,species,,Murine typhus,yes,murine_typhus,manual_first_pass,
52,Bluetongue,Reoviridae,1,E,TRUE,Culicoides midges,"Best livestock addition. 19,467 records",Bluetongue virus,Orbivirus caerulinguae,species,,Bluetongue,yes,bluetongue,manual_first_pass,Serotypes likely collapse under one analysis unit unless later split is needed.
53,Rabies,Lyssaviridae,1,B,FALSE,Multiple wildlife reservoirs,"3,788 records",Rabies lyssavirus,Lyssavirus rabies,species,,Rabies,yes,rabies,manual_first_pass,May need alias to Rabies virus depending on source table.
54,Lumpy skin disease,Poxviridae,1,E,TRUE,Culicoides/mosquitoes,"5,296 records. Partly trade-mediated",Lumpy skin disease virus,Capripoxvirus lumpyskinpox,species,,Lumpy skin disease,yes,lumpy_skin_disease,manual_first_pass,
55,Epizootic haemorrhagic disease,Reoviridae,1,E,FALSE,Culicoides; wild deer,383 records,Epizootic hemorrhagic disease virus,Orbivirus ruminantium,species,,Epizootic haemorrhagic disease,yes,epizootic_haemorrhagic_disease,manual_first_pass,Spelling variants haemorrhagic/hemorrhagic should be aliases.
56,African horse sickness,Reoviridae,2-Jan,E,FALSE,Culicoides midges,237 records,African horse sickness virus,Orbivirus alphaequi,species,,African horse sickness,yes,african_horse_sickness,manual_first_pass,
58,Trypanosomosis (tsetse),Trypanosoma,3-Feb,E,TRUE,Glossina (tsetse),9 EMPRES-i records. Livestock key host,Trypanosoma brucei species complex,Trypanosoma brucei,species_complex,,African trypanosomiasis,review,african_trypanosomiasis_tsetse,manual_first_pass,Broad disease label could mean human African trypanosomiasis and/or animal African trypanosomosis; review scope and species split.
59,Theileriosis,Theileria,2,E,TRUE,Rhipicephalus/Hyalomma ticks,Not in EMPRES-i. Check other sources,Theileria,,disease_group,,Theileriosis,review,theileriosis,manual_first_pass,Broad livestock disease group; likely needs species split depending on intended host/outbreak scope.
60,Tularemia,Francisella,2-Jan,E,FALSE,Ticks; lagomorphs/rodents,,Francisella tularensis,,species,,Tularemia,yes,tularemia,manual_first_pass,
61,Leishmaniasis,Leishmania,2-Jan,E,FALSE,Sand flies (Phlebotomus/Lutzomyia),,Leishmania,,genus,,Leishmaniasis,review,leishmaniasis_genus,manual_first_pass,Broad disease group; likely needs split into visceral/cutaneous or main species complexes if host/vector retrieval is too broad.
62,Q fever,Coxiella,2-Jan,E,TRUE,Ticks; wildlife reservoir,Livestock amplify environmental contamination,Coxiella burnetii,,species,,Q fever,yes,q_fever,manual_first_pass,
63,Schmallenberg,Peribunyaviridae,1,E,TRUE,Culicoides midges,Recent European emergence,Schmallenberg virus,Orthobunyavirus schmallenbergense,species,,Schmallenberg disease,yes,schmallenberg,manual_first_pass,
65,Sin Nombre,Hantaviridae,2-Jan,A,FALSE,Peromyscus maniculatus,23 Atlas points,Sin Nombre orthohantavirus,Orthohantavirus sinnombreense,species,,Sin Nombre hantavirus infection,yes,sin_nombre,manual_first_pass,
66,Andes,Hantaviridae,2,A,FALSE,Oligoryzomys longicaudatus,13 points,Andes orthohantavirus,Orthohantavirus andesense,species,,Andes hantavirus infection,yes,andes,manual_first_pass,
67,Prospect Hill,Hantaviridae,2,A,FALSE,Microtus pennsylvanicus,6 points,Prospect Hill orthohantavirus,Orthohantavirus prospectense,species,,Prospect Hill hantavirus infection,yes,prospect_hill,manual_first_pass,
68,Lee/Seoul variants,Hantaviridae,2,A,FALSE,Rattus/Apodemus,9 points,Seoul orthohantavirus,,species,,Seoul hantavirus infection,review,seoul_hantavirus,manual_first_pass,Name is ambiguous: 'Lee' may refer to Hantaan-related material while Seoul is Rattus-associated; review split.
69,Bayou,Hantaviridae,3,A,FALSE,Oryzomys palustris,3 points,Bayou orthohantavirus,Orthohantavirus bayoui,species,,Bayou hantavirus infection,yes,bayou,manual_first_pass,
72,Machupo,Arenaviridae,2,A,FALSE,Calomys callosus,4 points,Machupo mammarenavirus,Mammarenavirus machupoense,species,,Bolivian hemorrhagic fever,yes,machupo,manual_first_pass,
73,Guanarito,Arenaviridae,3,A,FALSE,Zygodontomys brevicauda,2 points,Guanarito mammarenavirus,Mammarenavirus guanaritoense,species,,Venezuelan hemorrhagic fever,yes,guanarito,manual_first_pass,
76,Irkut,Lyssaviridae,3,B,FALSE,Murina leucogaster (bat),5 points,Irkut lyssavirus,Lyssavirus irkut,species,,Irkut lyssavirus infection,yes,irkut,manual_first_pass,
77,Bokeloh bat lyssavirus,Lyssaviridae,3,B,FALSE,Myotis nattereri,2 points,Bokeloh bat lyssavirus,Lyssavirus bokeloh,species,,Bokeloh bat lyssavirus infection,yes,bokeloh_bat_lyssavirus,manual_first_pass,
