analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,vector_group,vector_taxon_rank,vector_join_key,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,best_evidence_level,best_evidence_basis,vector_record_sources,bites_humans,bites_humans_basis,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,taxonomy_caution
master_17,Plague,Plague,aetheca wagneri,,flea,species,aetheca wagneri,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,citellophilus tesquorum,,flea,species,citellophilus tesquorum,TRUE,FALSE,TRUE,probable,review,lit_review,,,mixed,,,,temperature_dependent,FALSE
master_17,Plague,Plague,citellophilus tesquorum altaicus,,flea,infraspecific,citellophilus tesquorum altaicus,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,yes,yes,,,FALSE
master_17,Plague,Plague,ctenocephalides felis,,flea,species,ctenocephalides felis,TRUE,TRUE,TRUE,confirmed,review,lit_review,TRUE,on_host_occurrence,mixed,mixed,yes,,,TRUE
master_17,Plague,Plague,echidnophaga gallinaceus,,flea,species,echidnophaga gallinaceus,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,epitedia eumolpi,,flea,species,epitedia eumolpi,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,epitedia wenmanni,,flea,species,epitedia wenmanni,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,hoplopsyllus anomalus,,flea,species,hoplopsyllus anomalus,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,hystrichopsylla linsdalei,,flea,species,hystrichopsylla linsdalei,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,malaraeus telchinum,,flea,species,malaraeus telchinum,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,yes,,,,FALSE
master_17,Plague,Plague,megabothris abantis,,flea,species,megabothris abantis,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,competent,yes,,,,FALSE
master_17,Plague,Plague,neopsylla setosa,,flea,species,neopsylla setosa,TRUE,FALSE,TRUE,probable,review,lit_review,,,unclear,,,,limited_or_indirect_support,FALSE
master_17,Plague,Plague,nosopsyllus fasciatus,,flea,species,nosopsyllus fasciatus,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,opisodasys nesiotis,,flea,species,opisodasys nesiotis,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,spelling_or_ocr_issue,FALSE
master_17,Plague,Plague,orchopeas sexdentatus,,flea,species,orchopeas sexdentatus,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,oropsylla bruneri,,flea,species,oropsylla bruneri,TRUE,TRUE,TRUE,confirmed,review,lit_review,TRUE,on_host_occurrence,competent,yes,,,,FALSE
master_17,Plague,Plague,oropsylla hirsuta,,flea,species,oropsylla hirsuta,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,mixed,yes,,,low_competence_or_efficiency,FALSE
master_17,Plague,Plague,oropsylla idahoensis,,flea,species,oropsylla idahoensis,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,yes,,,,FALSE
master_17,Plague,Plague,oropsylla labis,,flea,species,oropsylla labis,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,oropsylla montana,,flea,species,oropsylla montana,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,mixed,yes,,,,FALSE
master_17,Plague,Plague,oropsylla rupestris,,flea,species,oropsylla rupestris,TRUE,FALSE,TRUE,confirmed,review,lit_review,FALSE,,competent,yes,,,,FALSE
master_17,Plague,Plague,oropsylla tuberculata,,flea,species,oropsylla tuberculata,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,competent,yes,,,,TRUE
master_17,Plague,Plague,oropsylla tuberculata cynomuris,,flea,infraspecific,oropsylla tuberculata cynomuris,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,yes,,,,FALSE
master_17,Plague,Plague,paradoxopsyllus curvispinus,,flea,species,paradoxopsyllus curvispinus,TRUE,FALSE,TRUE,weak,review,lit_review,,,unclear,,yes,,mixed_or_debated_evidence,FALSE
master_17,Plague,Plague,paradoxopsyllus custodis,,flea,species,paradoxopsyllus custodis,TRUE,FALSE,TRUE,candidate,review,lit_review,,,unclear,,yes,epizootic_vector,,FALSE
master_17,Plague,Plague,paradoxopsyllus dashidorzhii,,flea,species,paradoxopsyllus dashidorzhii,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,mixed,yes,primary_vector,no_transmission_demonstrated,FALSE
master_17,Plague,Plague,paradoxopsyllus hesperius kalabukhovi,,flea,infraspecific,paradoxopsyllus hesperius kalabukhovi,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,unclear,,yes,secondary_vector,field_detection_only,FALSE
master_17,Plague,Plague,paradoxopsyllus repandus,,flea,species,paradoxopsyllus repandus,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,yes,yes,,temperature_dependent,FALSE
master_17,Plague,Plague,paradoxopsyllus scorodumovi,,flea,species,paradoxopsyllus scorodumovi,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,mixed,yes,primary_vector,,FALSE
master_17,Plague,Plague,paradoxopsyllus teretifrons,,flea,species,paradoxopsyllus teretifrons,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,mixed,yes,yes,,,FALSE
master_17,Plague,Plague,pleochaetis exilis,,flea,species,pleochaetis exilis,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,polygenis bohlsi bohlsi,,flea,infraspecific,polygenis bohlsi bohlsi,TRUE,FALSE,TRUE,candidate,review,lit_review,,,unclear,,yes,,,FALSE
master_17,Plague,Plague,polygenis bohlsi jordani,,flea,infraspecific,polygenis bohlsi jordani,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,yes,,,FALSE
master_17,Plague,Plague,polygenis gwyni,,flea,species,polygenis gwyni,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,competent,yes,,,,FALSE
master_17,Plague,Plague,polygenis tripus,,flea,species,polygenis tripus,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,mixed,yes,yes,,limited_or_indirect_support,FALSE
master_17,Plague,Plague,pulex irritans,,flea,species,pulex irritans,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,mixed,yes,yes,,low_competence_or_efficiency,FALSE
master_17,Plague,Plague,rhadinopsylla daurica,,flea,species,rhadinopsylla daurica,TRUE,FALSE,TRUE,probable,review,lit_review,,,mixed,yes,,,,FALSE
master_17,Plague,Plague,rhadinopsylla rothschildi,,flea,species,rhadinopsylla rothschildi,TRUE,FALSE,TRUE,probable,review,lit_review,,,mixed,yes,,,,FALSE
master_17,Plague,Plague,thrassis acamantis,,flea,species,thrassis acamantis,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,thrassis arizonensis,,flea,species,thrassis arizonensis,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,thrassis bacchi,,flea,species,thrassis bacchi,TRUE,TRUE,TRUE,confirmed,review,lit_review,FALSE,,competent,yes,,,,TRUE
master_17,Plague,Plague,thrassis fotus,,flea,species,thrassis fotus,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
master_17,Plague,Plague,thrassis francisi,,flea,species,thrassis francisi,TRUE,FALSE,TRUE,confirmed,review,lit_review,,,competent,yes,,,,FALSE
