Pathogens,Disease_name,Family,query_strategy,query_label,query_text,ok,records_found,ids_returned,sample_ids,error_message,request_url
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,manual_query_1,"(""TBEV""[All Fields]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(%22TBEV%22[All%20Fields])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,manual_query_2,"""tick-borne encephalitis virus""[All Fields]",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=%22tick-borne%20encephalitis%20virus%22[All%20Fields]&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,manual_query_3,"(txid11084[Organism:exp]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(txid11084[Organism:exp])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,manual_query_4,"(""Tick-borne encephalitis virus""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(%22Tick-borne%20encephalitis%20virus%22[Organism])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,manual_query_5,"(""tick-borne encephalitis virus""[All Fields]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(%22tick-borne%20encephalitis%20virus%22[All%20Fields])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,manual_query_6,"""Tick-borne encephalitis virus""[Organism]",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=%22Tick-borne%20encephalitis%20virus%22[Organism]&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,manual_query_7,"""TBEV""[All Fields]",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=%22TBEV%22[All%20Fields]&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,taxid_geo_query,"(txid11084[Organism:exp] OR txid3052465[Organism:exp]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(txid11084[Organism:exp]%20OR%20txid3052465[Organism:exp])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,taxid_query,txid11084[Organism:exp] OR txid3052465[Organism:exp],FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=txid11084[Organism:exp]%20OR%20txid3052465[Organism:exp]&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,name_geo_query,"(""Orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis virus""[Organism] OR ""orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(%22Orthoflavivirus%20encephalitidis%22[Organism]%20OR%20%22Tick-borne%20encephalitis%20virus%22[Organism]%20OR%20%22orthoflavivirus%20encephalitidis%22[Organism]%20OR%20%22Tick-borne%20encephalitis%22[Organism])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Orthoflavivirus encephalitidis,Tick-borne encephalitis,Flaviviridae,taxid,name_query,"""Orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis virus""[Organism] OR ""orthoflavivirus encephalitidis""[Organism] OR ""Tick-borne encephalitis""[Organism]",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=%22Orthoflavivirus%20encephalitidis%22[Organism]%20OR%20%22Tick-borne%20encephalitis%20virus%22[Organism]%20OR%20%22orthoflavivirus%20encephalitidis%22[Organism]%20OR%20%22Tick-borne%20encephalitis%22[Organism]&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,taxid,manual_query_1,"(""Alphainfluenzavirus influenzae (H2Nx)""[Organism] OR ""Influenza A""[Organism] OR ""Alphainfluenzavirus influenzae""[Organism] OR ""alphainfluenzavirus influenzae""[Organism] OR ""Influenza (H2 subtype)""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(%22Alphainfluenzavirus%20influenzae%20(H2Nx)%22[Organism]%20OR%20%22Influenza%20A%22[Organism]%20OR%20%22Alphainfluenzavirus%20influenzae%22[Organism]%20OR%20%22alphainfluenzavirus%20influenzae%22[Organism]%20OR%20%22Influenza%20(H2%20subtype)%22[Organism])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,taxid,manual_query_2,"((""Influenza A virus""[Organism]) AND (H2N1[All Fields])) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=((%22Influenza%20A%20virus%22[Organism])%20AND%20(H2N1[All%20Fields]))%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,taxid,manual_query_3,"(""Influenza A virus""[Organism]) AND (H2N1[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(%22Influenza%20A%20virus%22[Organism])%20AND%20(H2N1[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,taxid,taxid_geo_query,"(txid11320[Organism:exp] OR txid2955291[Organism:exp]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(txid11320[Organism:exp]%20OR%20txid2955291[Organism:exp])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,taxid,taxid_query,txid11320[Organism:exp] OR txid2955291[Organism:exp],FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=txid11320[Organism:exp]%20OR%20txid2955291[Organism:exp]&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,taxid,name_geo_query,"(""Alphainfluenzavirus influenzae (H2N1)""[Organism] OR ""Influenza A""[Organism] OR ""Alphainfluenzavirus influenzae""[Organism] OR ""alphainfluenzavirus influenzae""[Organism] OR ""Influenza (H2N1)""[Organism]) AND (""country""[All Fields] OR ""geo_loc_name""[All Fields] OR ""lat_lon""[All Fields])",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=(%22Alphainfluenzavirus%20influenzae%20(H2N1)%22[Organism]%20OR%20%22Influenza%20A%22[Organism]%20OR%20%22Alphainfluenzavirus%20influenzae%22[Organism]%20OR%20%22alphainfluenzavirus%20influenzae%22[Organism]%20OR%20%22Influenza%20(H2N1)%22[Organism])%20AND%20(%22country%22[All%20Fields]%20OR%20%22geo_loc_name%22[All%20Fields]%20OR%20%22lat_lon%22[All%20Fields])&api_key=2f57032f06fdc3a1e28543e3571f2a478408
Alphainfluenzavirus influenzae (H2N1),Influenza (H2N1),Orthomyxoviridae,taxid,name_query,"""Alphainfluenzavirus influenzae (H2N1)""[Organism] OR ""Influenza A""[Organism] OR ""Alphainfluenzavirus influenzae""[Organism] OR ""alphainfluenzavirus influenzae""[Organism] OR ""Influenza (H2N1)""[Organism]",FALSE,,0,,Search Backend failed: Database is not supported: nuccore,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=nuccore&retmode=xml&usehistory=n&retmax=20&term=%22Alphainfluenzavirus%20influenzae%20(H2N1)%22[Organism]%20OR%20%22Influenza%20A%22[Organism]%20OR%20%22Alphainfluenzavirus%20influenzae%22[Organism]%20OR%20%22alphainfluenzavirus%20influenzae%22[Organism]%20OR%20%22Influenza%20(H2N1)%22[Organism]&api_key=2f57032f06fdc3a1e28543e3571f2a478408
